setup;1_1;A burglar broke into a bank carrying some dynamite. He planned to blow open a safe.;x-x-x batters towns yeah vs info deserves miss nominate. Hold outcome jack wars deal same glad.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
setup;25_1;A burglar was trying to break into a house and had a credit card in his hand. He wanted to open a door.;x-x-x ballots pre senate cup notes yeah met rates yes app sir abroad eggs am guys goes. Hill happen cent else glad okay.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1-context;25_2;He found a door which had a faulty lock and a window which had a cracked frame.;x-x-x weird oh onto lives jack vs assert earn wild yeah whom worst pre cent propose finds.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
2-context;25_2;He found a door which had a faulty lock and a door which had a cracked frame.;x-x-x weird oh onto lives jack vs assert earn wild yeah whom worst pre cent propose finds.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
NP;25_3;The burglar opened the door with the faulty lock and quickly slipped inside.;x-x-x tariffs senate cent glad lose seem capita tend pre anymore honesty amount.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;25_3;The burglar opened the door with the credit card and quickly slipped inside.;x-x-x tariffs senate cent glad lose seem capita tend pre anymore honesty amount.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;26_1;A cleaning lady started on her morning rounds carrying a brush. She would have to clean a corridor that morning.;x-x-x outcomes glad awesome app guys nations belong survival seem abbey. Got funny anti dad roman sir commence lady website.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-context;26_2;In the building there was a corridor which had lots of plants along it and a lounge which had lots of pictures on the walls.;x-x-x lose somebody weird skin sir funniest enjoy fat item die invite judge ask vote dad conclude hands okay cent sure discover wife guys sorts.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
2-context;26_2;In the building there was a corridor which had lots of plants along it and a corridor which had lots of pictures on the walls.;x-x-x lose somebody weird skin sir funniest enjoy fat item die invite judge ask vote dad conclude hands okay cent sure discover wife guys sorts.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
NP;26_3;The cleaning lady cleaned the corridor with the plants and then lit a cigarette.;x-x-x moreover glad factual dad prompted hate know ought sir cent coup bet implement.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;26_3;The cleaning lady cleaned the corridor with the brush and then lit a cigarette.;x-x-x moreover glad factual dad prompted hate know ought sir cent coup bet implement.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;27_1;A woman was looking through some clothes while holding some darning wool. She needed to repair a sock.;x-x-x rates pre anymore century miss deserve march edition cent enrolls beta. Took happen oh bureau sir bids.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1-context;27_2;She found in the pile of clothes a sock which had a hole in it and a jumper which was getting a bit thin.;x-x-x trump vs cent unto dad anymore miss tabs costs pre pro wars boys sir guys app elites coast hate website tour nor dean.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
2-context;27_2;She found in the pile of clothes a sock which had a hole in it and a sock which was getting a bit thin.;x-x-x trump vs cent unto dad anymore miss tabs costs pre pro wars boys sir guys app elites coast hate website tour nor dean.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
NP;27_3;The woman repaired the sock with the hole but hurt her finger in the process.;x-x-x apart farmland glad fide jobs fund wars pre pope seem ignore al know follows.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
VP;27_3;The woman repaired the sock with the wool but hurt her finger in the process.;x-x-x apart farmland glad fide jobs fund wars pre pope seem ignore al know follows.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
setup;28_1;A little boy was playing in a garden kicking a ball about. He was warned that he’d probably break a window.;x-x-x videos laws pre reasons grow app exists bishops link tips doubt. Work miss outlet cent sits download table park awards.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1-context;28_2;Close to him was a window which had a crack in it and a statue that looked very old.;x-x-x mid lady jack nor phones wants hate vs exams lots app wait sir awards wish income card mom.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
2-context;28_2;Close to him was a window which had a crack in it and a window that looked very old.;x-x-x mid lady jack nor phones wants hate vs exams lots app wait sir awards wish income card mom.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
NP;28_3;The boy did accidentally break the window with the crack and ran home crying.;x-x-x fail mid technologies miles glad prefer hope fund occur jobs dean lack surely.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;28_3;The boy did accidentally break the window with the ball and ran home crying.;x-x-x fail mid technologies miles glad prefer hope fund occur jobs dean lack surely.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;29_1;A chef was working in his kitchen by a food mixer. He was preparing to make a cake.;x-x-x tops yes percent link miss happens okay hate seem havoc. Told else magazines yeah anti ago fees.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1-context;29_2;Somebody came into the kitchen and asked him to bake a cake containing dried fruit and a pie topped with jam.;x-x-x fund mark ones pleased non basis app cent dice miss ages disability audit valid self yeah aims impose vote hack.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
2-context;29_2;Somebody came into the kitchen and asked him to bake a cake containing dried fruit and a cake topped with jam.;x-x-x fund mark ones pleased non basis app cent dice miss ages disability audit valid self yeah aims impose vote hack.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
NP;29_3;The chef started to make the cake with the dried fruit but ran out of eggs.;x-x-x outs seconds yes else sir owns died knew deny plead hate dean fund yeah semi.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
VP;29_3;The chef started to make the cake with the food mixer but ran out of eggs.;x-x-x outs seconds yes else sir owns died knew deny plead hate dean fund yeah semi.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
setup;30_1;A gardener was working in a garden adjusting a chainsaw. He needed to cut down a tree.;x-x-x offences anti message jack vs voters nationals hate enamored. Old happen dad pre glad yeah info.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;30_2;He was standing by a tree covered in greenfly and a tall shrub which had been dead a long time.;x-x-x mid download join ago okay realize hour isometry pro app info soaps agree yeah step card buy feel guys.;1 2 3 4 5 6 7 8 9 10 11 12 x 13 14 15 16 17 18 19
2-context;30_2;He was standing by a tree covered in greenfly and a tree which had been dead a long time.;x-x-x mid download join ago okay realize hour isometry pro app info agree yeah step card buy feel guys.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
NP;30_3;The gardener cut down the tree with the greenfly but was very sad about it.;x-x-x collided loss yeah sir whom glad hear interwar pre app fund fees award vote.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
VP;30_3;The gardener cut down the tree with the chainsaw but was very sad about it.;x-x-x collided loss yeah sir whom glad hear interwar pre app fund fees award vote.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
setup;31_1;A detective was sitting at a window holding a set of binoculars. He’d been asked to watch a woman.;x-x-x expertise luck reflect idea glad reduce nations grow ago sir immunology. Hood else river link brain miss goals.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
1-context;31_2;In the room he was looking into there was a woman holding a revolver and a man holding a grenade.;x-x-x lose whom dad cent million fund month anti vs rates billion ago metadata guys pre ways airport term malaria.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2-context;31_2;In the room he was looking into there was a woman holding a revolver and a woman holding a grenade.;x-x-x lose whom dad cent million fund month anti vs rates billion ago metadata guys pre ways airport term malaria.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
NP;31_3;The detective watched the woman with the revolver and then made a phone call.;x-x-x preparing poverty jack shall anti fund persists pre term laws yeah seems wood.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;31_3;The detective watched the woman with the binoculars and then made a phone call.;x-x-x preparing poverty jack shall anti fund persists pre term laws yeah seems wood.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;32_1;A man was decorating a room and had with him a large brush. He’d decided to paint a door.;x-x-x hear ones bestseller win yeah push laws cent app pre ahead winds. Asks feeling jack tales fund whom.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
1-context;32_2;In the room there was a door which had a large crack in it and a window which wouldn't close.;x-x-x lose pick weird dad knew whom lives cent sir shall kings hate god wild app agency agree economic queen.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2-context;32_2;In the room there was a door which had a large crack in it and a door which wouldn't close.;x-x-x lose pick weird dad knew whom lives cent sir shall kings hate god wild app agency agree economic queen.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
NP;32_3;The man decided to paint the door with the large crack and do the window later.;x-x-x upon weekend jack edges app suck yeah knew shall hoped luck vs lady headed peace.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
VP;32_3;The man decided to paint the door with the large brush and do the window later.;x-x-x upon weekend jack edges app suck yeah knew shall hoped luck vs lady headed peace.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
